,cycle,branch,type,matchup,forecastdate,state,startdate,enddate,pollster,grade,samplesize,population,poll_wt,rawpoll_clinton,rawpoll_trump,rawpoll_johnson,rawpoll_mcmullin,adjpoll_clinton,adjpoll_trump,adjpoll_johnson,adjpoll_mcmullin,multiversions,url,poll_id,question_id,createddate,timestamp
4250,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Arizona,11/3/2016,11/6/2016,Gravis Marketing,B-,1453,rv,3.133701,43.0,45.0,3.0,,42.93639,44.38242,3.773097,,,http://www.gravispolls.com/2016/11/multi-state-polls.html?m=1,48851,76447,11/7/16,09:24:53  8 Nov 2016
4252,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Florida,11/1/2016,11/2/2016,Remington,,2352,lv,3.123244,45.0,48.0,,,44.83015,46.56268,,,,http://docs.axiomstrategies.com/wp-content/uploads/2016/11/ABC_Press_Release-110616.pdf,48489,75995,11/6/16,09:24:53  8 Nov 2016
4253,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Pennsylvania,10/31/2016,11/1/2016,Public Policy Polling,B+,1050,lv,3.114036,48.0,44.0,,,46.83252,42.89052,,,,https://cdn.americanprogress.org/content/uploads/sites/2/2016/11/03143903/NationalMemo112-Final.pdf,48329,75702,11/4/16,09:24:53  8 Nov 2016
4255,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Pennsylvania,11/3/2016,11/5/2016,YouGov,B,931,lv,3.069021,45.0,43.0,4.0,,45.76747,42.9798,5.175492,,,https://today.yougov.com/news/2016/11/07/yougov-final-polls-battleground-states/,48683,76246,11/7/16,09:24:53  8 Nov 2016
4256,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Nevada,11/3/2016,11/6/2016,Gravis Marketing,B-,1158,lv,3.059317,45.0,43.0,4.0,,43.60592,40.44767,5.496564,,,http://www.gravispolls.com/2016/11/final-gravis-marketing-nevada-poll-2016.html?m=1,48689,76269,11/7/16,09:24:53  8 Nov 2016
4257,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Colorado,11/3/2016,11/6/2016,Gravis Marketing,B-,1378,rv,3.058729,44.0,43.0,5.0,,43.93961,42.38405,5.773097,,,http://www.gravispolls.com/2016/11/multi-state-polls.html?m=1,48850,76446,11/7/16,09:24:53  8 Nov 2016
4258,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Florida,11/2/2016,11/4/2016,YouGov,B,1188,rv,3.053852,45.0,45.0,,,47.04525,46.84944,,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/mwbtap4dgs/FL_Prelim_20161106.pdf,48482,75978,11/6/16,09:24:53  8 Nov 2016
4260,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Wisconsin,11/1/2016,11/2/2016,Clarity Campaign Labs,B,1129,lv,2.987877,47.0,43.0,4.0,,47.81342,42.95495,3.999749,,,http://projects.fivethirtyeight.com/polls/11072016_sen.pdf,48621,76170,11/7/16,09:24:53  8 Nov 2016
4261,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Ohio,11/4/2016,11/5/2016,Emerson College,B,900,lv,2.984264,38.9,45.6,6.8,,38.90148,43.48147,7.066058,,,projects.fivethirtyeight.com/polls/20161107_Swing_1.pdf,48516,76052,11/7/16,09:24:53  8 Nov 2016
4262,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,New Hampshire,11/3/2016,11/6/2016,University of New Hampshire,B+,692,lv,2.974129,49.0,38.0,6.0,,48.77016,39.15198,6.425257,,,http://cola.unh.edu/sites/cola.unh.edu/files/research_publications/gsp2016_fall_pressengov110616.pdf,48497,76013,11/6/16,09:24:53  8 Nov 2016
4263,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Pennsylvania,11/1/2016,11/4/2016,Clarity Campaign Labs,B,1033,lv,2.97223,47.0,43.0,4.0,,47.75366,42.8364,4.071717,,,http://projects.fivethirtyeight.com/polls/11072016_sen.pdf,48620,76169,11/7/16,09:24:53  8 Nov 2016
4265,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Florida,10/20/2016,10/24/2016,SurveyUSA,A,1251,lv,2.954021,48.0,45.0,2.0,,46.87209,45.87545,1.487526,,,http://www.baynews9.com/content/news/baynews9/news/article.html/content/news/articles/cfn/2016/10/25/florida_decides_polls_presidential_race.html#pdfs,47465,74252,10/25/16,09:24:53  8 Nov 2016
4266,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,California,10/25/2016,10/31/2016,YouGov,B,1498,lv,2.951676,53.0,33.0,4.0,,53.87985,34.0645,4.518713,,,http://www.sacbee.com/news/politics-government/capitol-alert/article112168782.html,48125,75391,11/3/16,09:24:53  8 Nov 2016
4268,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Colorado,11/1/2016,11/2/2016,Remington,,1863,lv,2.934303,42.0,41.0,,,40.18504,37.91566,,,,http://docs.axiomstrategies.com/wp-content/uploads/2016/11/ABC_Press_Release-110616.pdf,48488,75994,11/6/16,09:24:53  8 Nov 2016
4269,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,New York,11/3/2016,11/4/2016,Siena College,A,617,lv,2.903992,51.0,34.0,5.0,,51.34944,35.03377,4.245553,,,http://files.constantcontact.com/9c83fb30501/486bf15f-bd24-43fa-988f-79ba63efc430.pdf,48478,75969,11/6/16,09:24:53  8 Nov 2016
4270,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Nevada,11/1/2016,11/2/2016,Remington,,1793,lv,2.898775,45.0,46.0,,,43.82519,43.5574,,,,http://docs.axiomstrategies.com/wp-content/uploads/2016/11/ABC_Press_Release-110616.pdf,48490,75996,11/6/16,09:24:53  8 Nov 2016
4271,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Pennsylvania,11/3/2016,11/6/2016,Gravis Marketing,B-,1220,rv,2.885523,46.0,40.0,7.0,,45.93093,39.37966,7.773097,,,http://www.gravispolls.com/2016/11/multi-state-polls.html?m=1,48856,76452,11/7/16,09:24:53  8 Nov 2016
4272,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Arizona,10/30/2016,11/1/2016,Marist College,A,719,lv,2.859202,40.0,45.0,9.0,,38.67133,45.72822,7.634714,,,http://www.wsj.com/articles/new-poll-finds-close-race-in-georgia-1478206826,48211,75509,11/3/16,09:24:53  8 Nov 2016
4273,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Missouri,11/1/2016,11/2/2016,Clarity Campaign Labs,B,1036,lv,2.852793,38.0,54.0,,,37.6443,52.78773,,,,http://projects.fivethirtyeight.com/polls/11072016_sen.pdf,48622,76171,11/7/16,09:24:53  8 Nov 2016
4274,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Wisconsin,11/3/2016,11/6/2016,Gravis Marketing,B-,1184,rv,2.842833,47.0,44.0,3.0,,46.93784,43.38316,3.773097,,,http://www.gravispolls.com/2016/11/multi-state-polls.html?m=1,48858,76454,11/7/16,09:24:53  8 Nov 2016
4275,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Washington,10/31/2016,11/2/2016,SurveyUSA,A,681,lv,2.811729,50.0,38.0,4.0,,49.00631,36.95973,4.658486,,,http://www.surveyusa.com/client/PollReport.aspx?g=befe5f60-092c-48e8-b36f-b5ae8e28048e,48365,75831,11/4/16,09:24:53  8 Nov 2016
4276,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Virginia,11/1/2016,11/4/2016,Gravis Marketing,B-,1362,rv,2.810909,47.0,42.0,4.0,,47.06984,41.47081,4.767539,,,http://www.breitbart.com/2016-presidential-race/2016/11/07/exclusive-breitbart-gravis-polls-swing-state-roundup/,48772,76355,11/7/16,09:24:53  8 Nov 2016
4277,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Wisconsin,10/31/2016,11/1/2016,Public Policy Polling,B+,891,lv,2.805241,48.0,41.0,,,46.75041,39.81551,,,,https://cdn.americanprogress.org/content/uploads/sites/2/2016/11/03143903/NationalMemo112-Final.pdf,48330,75703,11/4/16,09:24:53  8 Nov 2016
4278,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,California,10/22/2016,10/30/2016,Greenberg Quinlan Rosner/American Viewpoint,B+,1382,lv,2.797422,54.0,30.0,4.0,,54.30476,31.54165,3.36813,,,https://gqrr.app.box.com/s/e43t1oo48vr9kfrz5t1fhl3qbfsoz39v,48321,75803,11/4/16,09:24:53  8 Nov 2016
4279,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Georgia,10/30/2016,11/1/2016,Marist College,A,707,lv,2.795523,44.0,45.0,8.0,,42.63222,45.65755,6.634714,,,http://www.wsj.com/articles/new-poll-finds-close-race-in-georgia-1478206826,48209,75507,11/3/16,09:24:53  8 Nov 2016
4280,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,California,10/28/2016,10/31/2016,SurveyUSA,A,747,lv,2.794053,56.0,35.0,4.0,,54.99168,34.28688,4.424506,,,http://sanfrancisco.cbslocal.com/2016/11/01/surveyusa-kpix-5-poll-hillary-clinton-donald-trump-prop-64-marijuana/,48011,75087,11/1/16,09:24:53  8 Nov 2016
4281,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Florida,11/1/2016,11/7/2016,SurveyMonkey,C-,4092,lv,2.785524,47.0,45.0,4.0,,45.5484,44.36333,1.682124,,,https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,48869,76559,11/8/16,09:24:53  8 Nov 2016
4282,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Texas,10/30/2016,11/1/2016,Marist College,A,679,lv,2.747991,40.0,49.0,6.0,,38.65643,49.70131,4.634714,,,http://www.wsj.com/articles/new-poll-finds-close-race-in-georgia-1478206826,48210,75508,11/3/16,09:24:53  8 Nov 2016
4283,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Missouri,10/31/2016,11/1/2016,Remington,,1722,lv,2.741439,39.0,52.0,4.0,,38.987,50.83235,5.123626,,,http://projects.fivethirtyeight.com/polls/20161103_MO_1.pdf,48186,75458,11/3/16,09:24:53  8 Nov 2016
4284,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Arizona,10/29/2016,10/31/2016,Saguaro Strategies,,2229,lv,2.722561,45.0,44.0,7.0,,43.41242,43.85367,6.298352,,,https://www.scribd.com/document/329707080/Saguaro-Strategies-Arizona-Survey-October-29-31,48185,75456,11/3/16,09:24:53  8 Nov 2016
4285,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Utah,11/3/2016,11/5/2016,YouGov,B,762,lv,2.720083,23.0,40.0,7.0,24.0,23.78063,39.98659,8.175492,24.0,,https://today.yougov.com/news/2016/11/07/yougov-final-polls-battleground-states/,48684,76247,11/7/16,09:24:53  8 Nov 2016
4286,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Colorado,11/3/2016,11/4/2016,Public Policy Polling,B+,704,lv,2.715406,48.0,43.0,4.0,,47.47256,42.36083,5.199139,,,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_COMIVA_110416.pdf,48347,75739,11/4/16,09:24:53  8 Nov 2016
4287,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Virginia,11/2/2016,11/6/2016,Hampton University,B,802,lv,2.696078,45.0,41.0,,,45.7419,40.1996,,,,https://lintvwavy.files.wordpress.com/2016/11/hu-cpp-poll-6-final.pdf,48685,76257,11/7/16,09:24:53  8 Nov 2016
4288,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Utah,10/31/2016,11/2/2016,Emerson College,B,1000,lv,2.695307,19.6,39.8,3.0,27.6,19.79649,37.99446,3.072522,27.70303,,http://media.wix.com/ugd/3bebb2_f1333cfb6e9f42ae9d2e9dd81053b33a.pdf,48196,75478,11/3/16,09:24:53  8 Nov 2016
4289,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,North Carolina,11/1/2016,11/7/2016,SurveyMonkey,C-,3126,lv,2.68796,48.0,41.0,7.0,,46.53767,40.3578,4.682124,,,https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,48893,76583,11/8/16,09:24:53  8 Nov 2016
4290,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Texas,11/1/2016,11/7/2016,SurveyMonkey,C-,3009,lv,2.684719,43.0,46.0,6.0,,41.54497,45.36156,3.682124,,,https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,48903,76593,11/8/16,09:24:53  8 Nov 2016
4291,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Michigan,11/1/2016,11/7/2016,SurveyMonkey,C-,3145,lv,2.684582,44.0,42.0,8.0,,42.55152,41.36494,5.682125,,,https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,48882,76572,11/8/16,09:24:53  8 Nov 2016
4292,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,North Carolina,11/1/2016,11/4/2016,Gravis Marketing,B-,1250,rv,2.681607,46.0,45.0,3.0,,46.06071,44.46533,3.767539,,,http://www.breitbart.com/2016-presidential-race/2016/11/07/exclusive-breitbart-gravis-polls-swing-state-roundup/,48773,76356,11/7/16,09:24:53  8 Nov 2016
4293,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Missouri,11/4/2016,11/5/2016,Emerson College,B,750,lv,2.673305,40.5,46.5,6.6,,40.49911,44.38027,6.866057,,,projects.fivethirtyeight.com/polls/20161107_Swing_1.pdf,48518,76054,11/7/16,09:24:53  8 Nov 2016
4295,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Ohio,11/1/2016,11/7/2016,SurveyMonkey,C-,2860,lv,2.649181,42.0,45.0,7.0,,40.54963,44.36396,4.682124,,,https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,48895,76585,11/8/16,09:24:53  8 Nov 2016
4296,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Pennsylvania,11/1/2016,11/7/2016,SurveyMonkey,C-,2845,lv,2.646815,46.0,43.0,6.0,,44.54302,42.36056,3.682124,,,https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,48898,76588,11/8/16,09:24:53  8 Nov 2016
4297,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Pennsylvania,10/27/2016,11/1/2016,CNN/Opinion Research Corp.,A-,799,lv,2.646744,48.0,44.0,4.0,,47.20349,42.21874,3.51991,,,http://www.cnn.com/2016/11/02/politics/polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona/index.html?sr=twCNN110216polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona0407PMVODtopLink&linkId=30619479,48090,75243,11/2/16,09:24:53  8 Nov 2016
4298,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Colorado,11/1/2016,11/7/2016,SurveyMonkey,C-,2777,lv,2.635824,43.0,40.0,10.0,,41.55986,39.36924,7.682125,,,https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,48865,76555,11/8/16,09:24:53  8 Nov 2016
4299,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,New Mexico,11/1/2016,11/2/2016,Gravis Marketing,B-,1327,rv,2.631171,45.0,37.0,11.0,,45.12741,36.58792,11.69557,,,http://www.breitbart.com/2016-presidential-race/2016/11/07/exclusive-breitbart-gravis-polls-swing-state-roundup/,48775,76358,11/7/16,09:24:53  8 Nov 2016
4300,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,California,11/1/2016,11/7/2016,SurveyMonkey,C-,2712,lv,2.624894,56.0,31.0,6.0,,54.55217,30.36527,3.682124,,,https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,48864,76554,11/8/16,09:24:53  8 Nov 2016
4301,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Nevada,10/27/2016,11/1/2016,CNN/Opinion Research Corp.,A-,790,lv,2.624312,43.0,49.0,5.0,,42.21596,47.25,4.51991,,,http://www.cnn.com/2016/11/02/politics/polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona/index.html?sr=twCNN110216polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona0407PMVODtopLink&linkId=30619479,48089,75239,11/2/16,09:24:53  8 Nov 2016
4302,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Arizona,11/1/2016,11/7/2016,SurveyMonkey,C-,2609,lv,2.606663,45.0,42.0,7.0,,43.55363,41.36602,4.682124,,,https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,48862,76552,11/8/16,09:24:53  8 Nov 2016
4303,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Georgia,11/6/2016,11/6/2016,Trafalgar Group,C,1250,lv,2.59701,45.11,51.58,1.89,,44.74571,48.65303,2.947244,,,https://drive.google.com/file/d/0B4lhKxf9pMitOXlldjlMQUNRbkU/view,48770,76353,11/7/16,09:24:53  8 Nov 2016
4304,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Arizona,10/27/2016,11/1/2016,CNN/Opinion Research Corp.,A-,769,lv,2.571478,44.0,49.0,5.0,,43.22177,47.26456,4.51991,,,http://www.cnn.com/2016/11/02/politics/polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona/index.html?sr=twCNN110216polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona0407PMVODtopLink&linkId=30619479,48087,75231,11/2/16,09:24:53  8 Nov 2016
4305,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,New Hampshire,10/31/2016,11/1/2016,Public Policy Polling,B+,781,lv,2.568357,48.0,43.0,,,45.84086,40.91891,,,,https://cdn.americanprogress.org/content/uploads/sites/2/2016/11/03143903/NationalMemo112-Final.pdf,48327,75700,11/4/16,09:24:53  8 Nov 2016
4306,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Georgia,11/1/2016,11/7/2016,SurveyMonkey,C-,2419,lv,2.564084,45.0,45.0,7.0,,43.5309,44.35431,4.682124,,,https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,48870,76560,11/8/16,09:24:53  8 Nov 2016
